userID, age, breed, sex, color
0,1,말티푸,M,흰색
1,1,노르웨이 숲,M,검정
2,5,퍼그,M,갈색
3,5,백한,M,검정
4,2,러시안 블루,M,회색
5,6,페르시안-페르시안 친칠라,M,갈색
6,5,혼합,M,검정
7,5,화이트리트리버,M,검정
8,6,미텔 스피츠,F,흰색
9,1,치와와,M,흰색
10,1,잭 러셀 테리어,M,검정
11,4,폼피츠,F,갈색
12,6,저먼 셰퍼드 독,F,검정
13,2,오골계,M,회색
14,6,퍼그,F,갈색
15,6,기니피그,M,회색
16,5,차우차우,M,회색
17,3,품종묘믹스,F,흰색
18,6,브리타니 스파니엘,F,노랑
19,5,도베르만,F,검정
20,2,라브라도 리트리버,F,노랑
21,2,슈나우져,M,흰색
22,4,스코티시 폴드,M,노랑
23,2,먼치킨,M,흰색
24,6,스핑크스,M,노랑
25,5,잉글리쉬 세터,M,노랑
26,3,거북이,F,검정
27,4,푸들,M,검정
28,5,풍산견,F,노랑
29,4,요크셔테리어 믹스,F,갈색
30,6,먼치킨,M,흰색
31,1,노르웨이 숲,M,노랑
32,2,믹스견,F,흰색
33,6,햄스터,F,노랑
34,6,믹스견,M,검정
35,2,저먼 포인터,M,노랑
36,2,스핑크스,M,검정
37,3,저먼 셰퍼드 독,F,흰색
38,2,라브라도 리트리버,F,갈색
39,6,브리타니 스파니엘,M,회색
40,2,아메리칸 쇼트헤어,M,흰색
41,4,한국 고양이,F,검정
42,4,멘체스터테리어,F,회색
43,5,노르웨이 숲,M,흰색
44,4,포메라니안,M,회색
45,1,웰시 코기 펨브로크,M,노랑
46,2,미텔 스피츠,F,검정
47,3,슈나우져,F,노랑
48,2,치와와,M,검정
49,2,퍼그,F,회색
50,1,미텔 스피츠,F,흰색
51,1,토끼,F,흰색
52,4,요크셔테리어 믹스,F,노랑
53,6,베들링턴 테리어,M,흰색
54,5,시베리안 허스키,M,회색
55,6, 요크셔 테리어,M,검정
56,2,백한,M,갈색
57,1,슈나우저-진도개 믹스,M,회색
58,5,브리타니 스파니엘,M,갈색
59,5,셰퍼드,M,검정
60,4,포메라니안,F,검정
61,5,스피츠,M,흰색
62,3,발바리,M,회색
63,5,아키다,F,검정
64,1,길고양이,F,검정
65,4,웰시 코기 펨브로크,M,회색
66,3,라브라도 리트리버,M,흰색
67,1,보어염소,M,회색
68,5,시바,M,흰색
69,3,햄스터,M,흰색
70,4,불독,F,갈색
71,2,보스턴 테리어,F,검정
72,6,거북이,F,검정
73,6,보어염소,M,회색
74,4,말티즈,F,흰색
75,3,멘체스터테리어,M,노랑
76,1,치와와,F,노랑
77,3,발바리,F,흰색
78,2,달마시안,F,흰색
79,3,화이트리트리버,M,갈색
80,3,품종묘믹스,F,갈색
81,5,리트리버 믹스,F,회색
82,1,올드 잉글리쉬 쉽독,M,갈색
83,5,토끼,F,흰색
84,4,라브라도 리트리버,M,갈색
85,6,골든 리트리버,M,노랑
86,6,차우차우,M,갈색
87,5,말라뮤트,F,회색
88,2,웰시 코기 카디건,M,회색
89,6,아메리칸 쇼트헤어,F,갈색
90,3,리트리버 믹스,M,갈색
91,4,염소,M,회색
92,4,믹스견,M,노랑
93,4,노퍽 테리어,F,검정
94,2,프렌치 불독,M,노랑
95,4,잉글리쉬 세터,F,흰색
96,1,토끼,M,흰색
97,1,품종묘믹스,M,회색
98,6,잭 러셀 테리어,F,흰색
99,2,시베리안 허스키,M,갈색
100,2,스핑크스,F,흰색
101,6,먼치킨,M,갈색
102,4,요크셔테리어 믹스,F,검정
103,3,샴,F,검정
104,6,백한,F,회색
105,1,저먼 포인터,F,갈색
106,6,먼치킨,F,노랑
107,1,말라뮤트,M,검정
108,5,말티즈,M,흰색
109,2,앵무새,M,흰색
110,4,혼합,M,검정
111,3,스코티시 폴드,M,흰색
112,4,웰시 코기 카디건,F,노랑
113,6,잭 러셀 테리어,F,노랑
114,5,노르웨이 숲,M,노랑
115,1,먼치킨,F,회색
116,5,토끼,F,노랑
117,2,보어염소,M,회색
118,5,시츄,F,회색
119,5,웰시 코기 카디건,M,흰색
120,5,페르시안,M,회색
121,4,화이트테리어,M,노랑
122,6,오리,M,흰색
123,4,브리티시 쇼트헤어,F,노랑
124,3,품종묘믹스,F,검정
125,3,포메라니안,F,회색
126,5,보더 콜리,F,흰색
127,6,스피츠,F,흰색
128,3,스코티시 폴드,M,갈색
129,2,페르시안,M,검정
130,2,슈나우져,M,노랑
131,6,러시안 블루,F,회색
132,5,요크셔테리어 믹스,M,회색
133,1,보스턴 테리어,F,회색
134,1,레그돌,F,갈색
135,4,믹스,M,갈색
136,3,스탠다드 푸들,F,흰색
137,1,먼치킨,F,노랑
138,4,발바리,M,갈색
139,1,기니피그,F,갈색
140,2,믹스묘,F,갈색
141,3,골든 리트리버,F,노랑
142,1,닥스훈트,F,회색
143,2,푸들,F,갈색
144,1,보어염소,F,회색
145,4,잉글리쉬 세터,M,흰색
146,5,레그돌,M,검정
147,5,이탈리안 그레이 하운드,F,회색
148,1,미텔 스피츠,M,갈색
149,6,페르시안,F,흰색
150,4,사모예드,M,갈색
151,5,말티즈,M,흰색
152,2,요크셔테리어 믹스,F,흰색
153,3,잭 러셀 테리어,F,갈색
154,3,시바,F,회색
155,2,하일랜드 폴드,F,검정
156,4,노퍽 테리어,F,회색
157,1,스피츠,M,흰색
158,6,브리타니 스파니엘,M,회색
159,6,레그돌,M,검정
160,5,핏불테리어,F,회색
161,1,바센지,F,노랑
162,5,스탠다드 푸들,F,갈색
163,4,한국 고양이,M,갈색
164,3,오리,M,흰색
165,4,레그돌,M,회색
166,4,거북이,M,검정
167,2,라브라도 리트리버,M,갈색
168,2,노퍽 테리어,M,노랑
169,3,차우차우,M,갈색
170,1,말티즈,M,흰색
171,6,웰시 코기 펨브로크,F,흰색
172,3,염소,F,갈색
173,6,사모예드,M,갈색
174,1,품종묘믹스,F,노랑
175,2,올드 잉글리쉬 쉽독,F,노랑
176,6,저먼 포인터,F,회색
177,4,터키시 앙고라,F,흰색
178,1,브리타니 스파니엘,M,흰색
179,1,브리타니 스파니엘,F,갈색
180,5,웰시 코기 펨브로크,F,노랑
181,6,셰퍼드,F,검정
182,3, 요크셔 테리어,F,검정
183,2,하일랜드 폴드,F,갈색
184,5,이탈리안 그레이 하운드,M,검정
185,2,한국 고양이,M,회색
186,6,달마시안,F,회색
187,2,잉글리쉬 세터,F,흰색
188,4,풍산견,M,흰색
189,5,보어염소,M,검정
190,5,보스턴 테리어,M,흰색
191,6,삽살개,F,회색
192,5,저먼 포인터,M,흰색
193,6,라브라도 리트리버,F,검정
194,5,오골계,M,흰색
195,2,시바,M,검정
196,1,페르시안-페르시안 친칠라,F,검정
197,4,시츄,M,회색
198,2,한국 고양이,F,노랑
199,6,노르웨이 숲,F,흰색
200,4,러시안 블루,M,회색
201,3,잭 러셀 테리어,F,갈색
202,5,노르웨이 숲,M,회색
203,1,베들링턴 테리어,F,회색
204,6,비글,M,노랑
205,6,거북이,M,검정
206,1,이탈리안 그레이 하운드,M,노랑
207,6,토끼,M,검정
208,6,잉글리쉬 세터,F,노랑
209,4,페르시안,M,회색
210,6,요크셔테리어 믹스,M,회색
211,6,기니피그,M,노랑
212,2,브리티시 쇼트헤어,M,노랑
213,2,시츄,F,검정
214,2,차우차우,F,검정
215,4,발리네즈,M,검정
216,1,오골계,M,노랑
217,1,발바리,F,회색
218,1,페르시안-페르시안 친칠라,M,검정
219,6,백한,F,검정
220,5,먼치킨,F,흰색
221,1,길고양이,F,검정
222,6,레그돌,F,검정
223,5,믹스,M,회색
224,6,화이트테리어,M,회색
225,4,미텔 스피츠,F,회색
226,1,포메라니안,F,검정
227,1,브리타니 스파니엘,F,검정
228,3,샴,F,노랑
229,3,아메리칸 쇼트헤어,M,갈색
230,5,화이트테리어,M,흰색
231,5,캉갈,M,노랑
232,5,흑염소,F,검정
233,1, 요크셔 테리어,M,검정
234,6,삽살개,M,노랑
235,5,스피츠,M,흰색
236,3,거북이,M,검정
237,1,발리네즈,F,흰색
238,3,앵무새,M,갈색
239,5,스핑크스,F,노랑
240,3,시바,F,흰색
241,5,시바,F,검정
242,6,고슴도치,M,노랑
243,1,폼피츠,F,검정
244,5,레오파드 게코,M,검정
245,3,라이카,M,검정
246,3,말라뮤트,M,검정
247,5,멘체스터테리어,M,갈색
248,6,멘체스터테리어,F,갈색
249,5,닥스훈트,M,회색
250,1,보스턴 테리어,F,검정
251,5,하일랜드 폴드,M,노랑
252,5,오리,M,흰색
253,1,하일랜드 폴드,F,갈색
254,1,샴,F,노랑
255,5,요크셔테리어 믹스,M,검정
256,3,비글,M,흰색
257,2,스피츠,M,흰색
258,1,보스턴 테리어,M,회색
259,5,노르웨이 숲,F,노랑
260,3,코카 스파니엘,F,갈색
261,1,품종묘믹스,F,회색
262,1,혼합,M,노랑
263,2,슈나우저-진도개 믹스,M,검정
264,2,믹스견,M,갈색
265,3,잭 러셀 테리어,M,흰색
266,2,페르시안,M,갈색
267,2,풍산견,M,검정
268,1,거북이,M,검정
269,4,웰시 코기 카디건,M,검정
270,5,폼피츠,M,회색
271,4,베들링턴 테리어,M,흰색
272,3,잉글리쉬 세터,F,검정
273,6,라이카,M,검정
274,3,오골계,F,노랑
275,3,웰시 코기 펨브로크,M,검정
276,6,터키시 앙고라,F,흰색
277,2,캉갈,F,갈색
278,2,발바리,F,회색
279,5,스탠다드 푸들,M,흰색
280,6,믹스,F,검정
281,2,베들링턴 테리어,F,회색
282,6,앵무새,M,노랑
283,5,스핑크스,F,노랑
284,3,미텔 스피츠,F,회색
285,1,기니피그,F,검정
286,5,요크셔테리어 믹스,M,흰색
287,3,시베리안 허스키,F,갈색
288,1,말라뮤트,F,노랑
289,1,브리타니 스파니엘,M,흰색
290,6,하일랜드 폴드,F,회색
291,4,길고양이,F,회색
292,3,화이트리트리버,M,갈색
293,1,리트리버 믹스,M,회색
294,5,화이트리트리버,M,노랑
295,3,브리티시 쇼트헤어,F,검정
296,6,라이카,F,회색
297,4,샴,M,검정
298,4,보어염소,M,노랑
299,3,보어염소,F,검정
300,2,발리네즈,M,회색
301,2,폼피츠,F,갈색
302,1,잉글리쉬 세터,F,회색
303,3,프렌치 불독,M,노랑
304,6,달마시안,F,갈색
305,6,노퍽 테리어,F,검정
306,6,바센지,M,노랑
307,4,라브라도 리트리버,M,갈색
308,1,도사,F,갈색
309,4,요크셔테리어 믹스,M,검정
310,6,먼치킨,F,갈색
311,1,혼합,M,회색
312,3,노퍽 테리어,M,검정
313,4,비글,M,노랑
314,5,스피츠,F,흰색
315,5,하일랜드 폴드,M,갈색
316,6,그레이트 피레니즈,M,회색
317,3,시베리안 허스키,F,회색
318,4,푸들,F,흰색
319,4,혼합,F,노랑
320,2,앵무새,M,노랑
321,1,진도견,M,흰색
322,5,저먼 셰퍼드 독,F,검정
323,2,웰시 코기 카디건,F,갈색
324,3,잭 러셀 테리어,M,노랑
325,5,라이카,F,회색
326,2,말라뮤트,M,검정
327,5,치와와,M,흰색
328,6,저먼 포인터,F,갈색
329,5,믹스,F,노랑
330,4,오리,F,흰색
331,1,잭 러셀 테리어,M,흰색
332,3,올드 잉글리쉬 쉽독,F,검정
333,5,셰퍼드,F,회색
334,5,레오파드 게코,F,검정
335,2,풍산견,F,회색
336,6,그레이트 피레니즈,F,갈색
337,6,염소,F,검정
338,3,토끼,F,갈색
339,1,샴,M,흰색
340,5,샴,F,흰색
341,3,브리티시 쇼트헤어,F,노랑
342,2,화이트리트리버,M,갈색
343,2,보더 콜리,F,갈색
344,1,레그돌,M,회색
345,3,스탠다드 푸들,F,갈색
346,2,저먼 셰퍼드 독,F,노랑
347,2,웰시 코기 카디건,F,노랑
348,4,페르시안,M,회색
349,2,퍼그,F,갈색
350,6,페르시안,F,흰색
351,6,토끼,F,흰색
352,3,라브라도 리트리버,F,검정
353,1,잉글리쉬 세터,F,회색
354,6,사모예드,F,갈색
355,1,혼합,M,검정
356,5,퍼그,M,회색
357,4,사모예드,F,검정
358,4,말티즈,M,흰색
359,6,혼합,F,회색
360,4,고슴도치,F,노랑
361,1,핏불테리어,M,흰색
362,5,앵무새,F,갈색
363,3,믹스묘,M,갈색
364,4,퍼그,F,검정
365,6,진도견,M,회색
366,2,햄스터,M,회색
367,4,한국 고양이,M,회색
368,4,노르웨이 숲,F,노랑
369,3,저먼 포인터,F,검정
370,6,화이트리트리버,F,노랑
371,1,셰퍼드,F,노랑
372,1,스피츠,F,흰색
373,1,포메라니안,M,회색
374,1,발바리,F,검정
375,4,거북이,F,검정
376,1,슈나우저-진도개 믹스,F,갈색
377,2,햄스터,F,회색
378,3,베들링턴 테리어,F,회색
379,6,믹스,M,검정
380,5,보어염소,M,검정
381,4,보더 콜리,M,갈색
382,4,혼합,M,흰색
383,3,말티즈,F,흰색
384,1,웰시 코기 펨브로크,F,흰색
385,6,달마시안,F,노랑
386,3,저먼 포인터,M,회색
387,3,진도견,M,회색
388,3,길고양이,M,회색
389,2,발리네즈,F,노랑
390,3,미텔 스피츠,F,검정
391,3,스핑크스,F,흰색
392,5,사모예드,M,흰색
393,2,스핑크스,F,갈색
394,1,거북이,M,검정
395,1,터키시 앙고라,F,갈색
396,1,아키다,M,회색
397,2,기니피그,M,갈색
398,1,노르웨이 숲,F,검정
399,2,믹스견,F,검정
400,3,말티즈,F,흰색
401,3,미텔 스피츠,F,흰색
402,5,러시안 블루,F,회색
403,3,보더 콜리,F,갈색
404,2,포메라니안,F,갈색
405,1,치와와,M,회색
406,2,풍산견,M,회색
407,2,스코티시 폴드,M,갈색
408,1,비숑 프리제,F,흰색
409,1,잉글리쉬 세터,F,회색
410,3,저먼 포인터,M,노랑
411,6,샴,M,검정
412,4,차우차우,F,갈색
413,5,흑염소,F,검정
414,6,슈나우저-진도개 믹스,F,노랑
415,4,스피츠,F,흰색
416,5,말라뮤트,M,흰색
417,2,비숑 프리제,M,흰색
418,5,퍼그,F,갈색
419,2,보더 콜리,F,검정
420,5,치와와,F,노랑
421,5,진도견,M,검정
422,1,올드 잉글리쉬 쉽독,F,검정
423,4,멘체스터테리어,F,갈색
424,6,품종묘믹스,F,노랑
425,2,보스턴 테리어,M,흰색
426,3,아키다,M,갈색
427,2,보더 콜리,M,검정
428,4,저먼 포인터,M,노랑
429,2,삽살개,M,회색
430,5,말티푸,F,갈색
431,3,아키다,M,검정
432,5,브리티시 쇼트헤어,M,검정
433,2,레오파드 게코,F,노랑
434,3,시베리안 허스키,F,검정
435,1,프렌치 불독,M,노랑
436,1,요크셔테리어 믹스,F,갈색
437,4,셰퍼드,F,회색
438,5,멘체스터테리어,M,노랑
439,3,먼치킨,F,갈색
440,3,말티즈,F,흰색
441,4,품종묘믹스,F,노랑
442,1,믹스견,M,갈색
443,2,폼피츠,M,흰색
444,4,고슴도치,M,노랑
445,5,미텔 스피츠,F,회색
446,5,핏불테리어,M,갈색
447,6,스탠다드 푸들,M,회색
448,2,라이카,F,노랑
449,2,스코티시 폴드,M,흰색
450,2,바센지,M,노랑
451,1,웰시 코기 펨브로크,F,검정
452,6,화이트테리어,F,회색
453,1,골든 리트리버,F,노랑
454,3,발바리,F,회색
455,4,앵무새,M,회색
456,3,이탈리안 그레이 하운드,F,갈색
457,4,잭 러셀 테리어,F,흰색
458,2,웰시 코기 카디건,F,검정
459,1,백한,F,검정
460,3,거북이,F,검정
461,3,요크셔테리어 믹스,F,검정
462,5,차우차우,F,흰색
463,3,노퍽 테리어,F,회색
464,4,풍산견,F,회색
465,2,저먼 포인터,F,흰색
466,5,풍산견,F,회색
467,5, 요크셔 테리어,F,회색
468,3,말티푸,M,회색
469,4,레그돌,M,갈색
470,5,달마시안,F,갈색
471,6,보스턴 테리어,F,검정
472,1,터키시 앙고라,M,노랑
473,6,말티즈,M,흰색
474,1,골든 리트리버,M,노랑
475,2,믹스묘,F,검정
476,6,브리티시 쇼트헤어,M,흰색
477,2,스핑크스,F,갈색
478,2,달마시안,M,흰색
479,4,잭 러셀 테리어,M,노랑
480,5,샴,F,갈색
481,5,잭 러셀 테리어,M,검정
482,3,라브라도 리트리버,M,노랑
483,4,화이트리트리버,M,갈색
484,1,한국 고양이,M,회색
485,4,웰시 코기 카디건,M,회색
486,6,그레이트 피레니즈,F,노랑
487,3,저먼 포인터,M,갈색
488,3,라이카,M,갈색
489,2,진도견,M,흰색
490,5,고슴도치,F,노랑
491,1,닥스훈트,M,회색
492,2,저먼 셰퍼드 독,F,회색
493,4,발바리,M,검정
494,1, 요크셔 테리어,F,노랑
495,6,화이트리트리버,F,검정
496,5,도사,M,갈색
497,3,달마시안,F,회색
498,2,염소,F,회색
499,4,한국 고양이,F,흰색
